pos_single;pos_context;base_single;base_context;orth_single;orth_context;number_single;number_context;case_single;case_context;gender_single;gender_context;rel_tok_distance;pos_between;phrase_type;sumo_concept;synset_id;sumo_concept_bs;synset_id_bs;pos_context_bs;base_context_bs;orth_context_bs;number_context_bs;case_context_bs;gender_context_bs;pos_context_bow;base_context_bow;orth_context_bow;number_context_bow;case_context_bow;gender_context_bow;synset_id_bow;first_predicate;second_predicate;relation_name
"subst;adj";"substsubstfinppasprep;adjsubstppasinterpNONE";"sąd;federalny";"terri;schiavo;zostać;skierować;do;federalny;Stany;zjednoczyć;.;NONE";"sądu;federalnego";"Terri;Schiavo;zostanie;skierowana;do;federalnego;Stanów;Zjednoczonych;.;NONE";"sg;sg";"sgsgsgsg_;sgplpl_";"gen;gen";"nomnom_nomgen;gengengen_";"m3;m3";"ff_f_;m3nn_";1;;chunk_np;subsumed:Organization_subsumed:Government;"3007;245080";subsumed:Organization_subsumed:Government;"3007;245080";"substsubstfinppasprep;adjsubstppasinterpNONE";"terri;schiavo;zostać;skierować;do;federalny;Stany;zjednoczyć;.;NONE";"Terri;Schiavo;zostanie;skierowana;do;federalnego;Stanów;Zjednoczonych;.;NONE";"sgsgsgsg_;sgplpl_";"nomnom_nomgen;gengengen_";"ff_f_;m3nn_";"substsubstfinppasprep;adjsubstppasinterpNONE";"terri;schiavo;zostać;skierować;do;federalny;Stany;zjednoczyć;.;NONE";"Terri;Schiavo;zostanie;skierowana;do;federalnego;Stanów;Zjednoczonych;.;NONE";"sgsgsgsg_;sgplpl_";"nomnom_nomgen;gengengen_";"ff_f_;m3nn_";"3007;245080";"0;0";"1;0";attribute
"ppas;subst";"interppraetadjsubstadv;prepsubstsubstadjsubst";"uchwalić;ustawa";",;podpisać;poprzedni;dzień;rano;przez;kongres;USA;nadzwyczajny;ustawa";"uchwaloną;ustawę";",;podpisał;poprzedniego;dnia;rano;przez;Kongres;USA;nadzwyczajną;ustawę";"sg;sg";"_sgsgsg_;_sgplsgsg";"acc;acc";"__gengen_;accaccaccaccacc";"f;f";"_m1m3m3_;_m3nff";5;prepsubstsubstadj;chunk_np;NONE_subsumed:Certificate;"70012;2693";NONE_subsumed:Certificate;"70012;2693";"interppraetadjsubstadv;prepsubstsubstadjsubst";",;podpisać;poprzedni;dzień;rano;przez;kongres;USA;nadzwyczajny;ustawa";",;podpisał;poprzedniego;dnia;rano;przez;Kongres;USA;nadzwyczajną;ustawę";"_sgsgsg_;_sgplsgsg";"__gengen_;accaccaccaccacc";"_m1m3m3_;_m3nff";"interppraetadjsubstadv;prepsubstsubstadjsubst";",;podpisać;poprzedni;dzień;rano;przez;kongres;USA;nadzwyczajny;ustawa";",;podpisał;poprzedniego;dnia;rano;przez;Kongres;USA;nadzwyczajną;ustawę";"_sgsgsg_;_sgplsgsg";"__gengen_;accaccaccaccacc";"_m1m3m3_;_m3nff";"70012;2693";"0;0";"0;0";"undergoer;patient"
"subst;adj";"NONENONENONENONENONE;adjprepsubstprepsubst";"sąd;federalny";"NONE;NONE;NONE;NONE;NONE;federalny;w;tampie;na;Floryda";"Sąd;federalny";"NONE;NONE;NONE;NONE;NONE;federalny;w;Tampie;na;Florydzie";"sg;sg";";sg_sg_sg";"nom;nom";";nomlocloclocloc";"m3;m3";";m3_f_f";1;;chunk_np;subsumed:Organization_subsumed:Government;"3007;245080";subsumed:Organization_subsumed:Government;"3007;245080";"NONENONENONENONENONE;adjprepsubstprepsubst";"NONE;NONE;NONE;NONE;NONE;federalny;w;tampie;na;Floryda";"NONE;NONE;NONE;NONE;NONE;federalny;w;Tampie;na;Florydzie";";sg_sg_sg";";nomlocloclocloc";";m3_f_f";"NONENONENONENONENONE;adjprepsubstprepsubst";"NONE;NONE;NONE;NONE;NONE;federalny;w;tampie;na;Floryda";"NONE;NONE;NONE;NONE;NONE;federalny;w;Tampie;na;Florydzie";";sg_sg_sg";";nomlocloclocloc";";m3_f_f";"3007;245080";"0;0";"1;0";attribute
"pact;subst";"qubfinppasprepsubst;substinterpNONENONENONE";"podtrzymywać;aparatura";"nie;zostać;podłączyć;do;aparatura;życie;.;NONE;NONE;NONE";"podtrzymującej;aparatury";"nie;zostanie;podłączona;do;aparatury;życie;.;NONE;NONE;NONE";"sg;sg";"_sgsg_sg;sg_";"gen;gen";"__nomgengen;acc_";"f;f";"__f_f;n_";1;;chunk_np;NONE_subsumed:Device;"2391;10696";NONE_subsumed:Device;"2391;10696";"qubfinppasprepsubst;substinterpNONENONENONE";"nie;zostać;podłączyć;do;aparatura;życie;.;NONE;NONE;NONE";"nie;zostanie;podłączona;do;aparatury;życie;.;NONE;NONE;NONE";"_sgsg_sg;sg_";"__nomgengen;acc_";"__f_f;n_";"qubfinppasprepsubst;substinterpNONENONENONE";"nie;zostać;podłączyć;do;aparatura;życie;.;NONE;NONE;NONE";"nie;zostanie;podłączona;do;aparatury;życie;.;NONE;NONE;NONE";"_sgsg_sg;sg_";"__nomgengen;acc_";"__f_f;n_";"2391;10696";"0;0";"0;0";"actor;cause"
"pact;subst";"qubfinppasprepsubst;substinterpNONENONENONE";"podtrzymywać;życie";"nie;zostać;podłączyć;do;aparatura;życie;.;NONE;NONE;NONE";"podtrzymującej;życie";"nie;zostanie;podłączona;do;aparatury;życie;.;NONE;NONE;NONE";"sg;sg";"_sgsg_sg;sg_";"gen;acc";"__nomgengen;acc_";"f;n";"__f_f;n_";1;;chunk_np;NONE_subsumed:Entity;"2391;81548";NONE_subsumed:Entity;"2391;81548";"qubfinppasprepsubst;substinterpNONENONENONE";"nie;zostać;podłączyć;do;aparatura;życie;.;NONE;NONE;NONE";"nie;zostanie;podłączona;do;aparatury;życie;.;NONE;NONE;NONE";"_sgsg_sg;sg_";"__nomgengen;acc_";"__f_f;n_";"qubfinppasprepsubst;substinterpNONENONENONE";"nie;zostać;podłączyć;do;aparatura;życie;.;NONE;NONE;NONE";"nie;zostanie;podłączona;do;aparatury;życie;.;NONE;NONE;NONE";"_sgsg_sg;sg_";"__nomgengen;acc_";"__f_f;n_";"2391;81548";"0;1";"0;0";undergoer
"pact;subst";"qubfinppasprepsubst;adjsubstconjfinprep";"zapewniać;aparatura";"nie;zostać;podłączyć;do;aparatura;sztuczny;odżywianie;i;umrzeć;z";"zapewniającej;aparatury";"nie;zostanie;podłączona;do;aparatury;sztuczne;odżywianie;i;umrze;z";"sg;sg";"_sgsg_sg;sgsg_sg_";"gen;gen";"__nomgengen;accacc__gen";"f;f";"__f_f;nn___";1;;chunk_np;NONE_subsumed:Device;"10681;10696";NONE_subsumed:Device;"10681;10696";"qubfinppasprepsubst;adjsubstconjfinprep";"nie;zostać;podłączyć;do;aparatura;sztuczny;odżywianie;i;umrzeć;z";"nie;zostanie;podłączona;do;aparatury;sztuczne;odżywianie;i;umrze;z";"_sgsg_sg;sgsg_sg_";"__nomgengen;accacc__gen";"__f_f;nn___";"qubfinppasprepsubst;adjsubstconjfinprep";"nie;zostać;podłączyć;do;aparatura;sztuczny;odżywianie;i;umrzeć;z";"nie;zostanie;podłączona;do;aparatury;sztuczne;odżywianie;i;umrze;z";"_sgsg_sg;sgsg_sg_";"__nomgengen;accacc__gen";"__f_f;nn___";"10681;10696";"0;0";"0;0";"actor;cause"
"pact;subst";"qubfinppasprepsubst;adjsubstconjfinprep";"zapewniać;odżywianie";"nie;zostać;podłączyć;do;aparatura;sztuczny;odżywianie;i;umrzeć;z";"zapewniającej;odżywianie";"nie;zostanie;podłączona;do;aparatury;sztuczne;odżywianie;i;umrze;z";"sg;sg";"_sgsg_sg;sgsg_sg_";"gen;acc";"__nomgengen;accacc__gen";"f;n";"__f_f;nn___";2;adj;chunk_np;"NONE_subsumed:Ingesting;subsumed:Putting";"10681;85964";"NONE_subsumed:Ingesting;subsumed:Putting";"10681;85964";"qubfinppasprepsubst;adjsubstconjfinprep";"nie;zostać;podłączyć;do;aparatura;sztuczny;odżywianie;i;umrzeć;z";"nie;zostanie;podłączona;do;aparatury;sztuczne;odżywianie;i;umrze;z";"_sgsg_sg;sgsg_sg_";"__nomgengen;accacc__gen";"__f_f;nn___";"qubfinppasprepsubst;adjsubstconjfinprep";"nie;zostać;podłączyć;do;aparatura;sztuczny;odżywianie;i;umrzeć;z";"nie;zostanie;podłączona;do;aparatury;sztuczne;odżywianie;i;umrze;z";"_sgsg_sg;sgsg_sg_";"__nomgengen;accacc__gen";"__f_f;nn___";"10681;85964";"0;1";"0;0";undergoer
"ger;subst";"substconjfinprepsubst;prepsubstsubstconjsubst";"dostarczyć;woda";"odżywianie;i;umrzeć;z;powód;do;organizm;woda;i;pożywienie";"niedostarczenia;wody";"odżywianie;i;umrze;z;powodu;do;organizmu;wody;i;pożywienia";"sg;sg";"sg_sg_sg;_sgsg_sg";"gen;gen";"acc__gengen;gengengen_gen";"n;f";"n___m3;_m3f_n";3;prepsubst;chunk_np;NONE_subsumed:SubjectiveAssessmentAttribute;"NONE;26941";NONE_subsumed:SubjectiveAssessmentAttribute;"NONE;26941";"substconjfinprepsubst;prepsubstsubstconjsubst";"odżywianie;i;umrzeć;z;powód;do;organizm;woda;i;pożywienie";"odżywianie;i;umrze;z;powodu;do;organizmu;wody;i;pożywienia";"sg_sg_sg;_sgsg_sg";"acc__gengen;gengengen_gen";"n___m3;_m3f_n";"substconjfinprepsubst;prepsubstsubstconjsubst";"odżywianie;i;umrzeć;z;powód;do;organizm;woda;i;pożywienie";"odżywianie;i;umrze;z;powodu;do;organizmu;wody;i;pożywienia";"sg_sg_sg;_sgsg_sg";"acc__gengen;gengengen_gen";"n___m3;_m3f_n";"NONE;26941";"0;0";"0;0";"undergoer;patient"
"ger;subst";"substconjfinprepsubst;prepsubstsubstconjsubst";"dostarczyć;pożywienie";"odżywianie;i;umrzeć;z;powód;do;organizm;woda;i;pożywienie";"niedostarczenia;pożywienia";"odżywianie;i;umrze;z;powodu;do;organizmu;wody;i;pożywienia";"sg;sg";"sg_sg_sg;_sgsg_sg";"gen;gen";"acc__gengen;gengengen_gen";"n;n";"n___m3;_m3f_n";5;prepsubstsubstconj;chunk_np;"NONE_subsumed:Ingesting;subsumed:Putting";"NONE;86763";"NONE_subsumed:Ingesting;subsumed:Putting";"NONE;86763";"substconjfinprepsubst;prepsubstsubstconjsubst";"odżywianie;i;umrzeć;z;powód;do;organizm;woda;i;pożywienie";"odżywianie;i;umrze;z;powodu;do;organizmu;wody;i;pożywienia";"sg_sg_sg;_sgsg_sg";"acc__gengen;gengengen_gen";"n___m3;_m3f_n";"substconjfinprepsubst;prepsubstsubstconjsubst";"odżywianie;i;umrzeć;z;powód;do;organizm;woda;i;pożywienie";"odżywianie;i;umrze;z;powodu;do;organizmu;wody;i;pożywienia";"sg_sg_sg;_sgsg_sg";"acc__gengen;gengengen_gen";"n___m3;_m3f_n";"NONE;86763";"0;1";"0;0";"undergoer;patient"
"subst;adj";"qubinfprepsubstadj;interpNONENONENONENONE";"instancja;wysoki";"się;odwoływać;do;sąd;wysoki;.;NONE;NONE;NONE;NONE";"instancji;wyższej";"się;odwoływać;do;sądu;wyższej;.;NONE;NONE;NONE;NONE";"sg;sg";"___sgsg;_";"gen;gen";"__gengengen;_";"f;f";"___m3f;_";1;;chunk_np;NONE_NONE;"426688;4032";NONE_NONE;"426688;4032";"qubinfprepsubstadj;interpNONENONENONENONE";"się;odwoływać;do;sąd;wysoki;.;NONE;NONE;NONE;NONE";"się;odwoływać;do;sądu;wyższej;.;NONE;NONE;NONE;NONE";"___sgsg;_";"__gengengen;_";"___m3f;_";"qubinfprepsubstadj;interpNONENONENONENONE";"się;odwoływać;do;sąd;wysoki;.;NONE;NONE;NONE;NONE";"się;odwoływać;do;sądu;wyższej;.;NONE;NONE;NONE;NONE";"___sgsg;_";"__gengengen;_";"___m3f;_";"426688;4032";"0;0";"0;0";attribute
"pact;subst";"qubfinppasprepsubst;substinterpNONENONENONE";"podtrzymywać;aparatura";"nie;zostać;podłączyć;do;aparatura;życie;.;NONE;NONE;NONE";"podtrzymującej;aparatury";"nie;zostanie;podłączona;do;aparatury;życie;.;NONE;NONE;NONE";"sg;sg";"_sgsg_sg;sg_";"gen;gen";"__nomgengen;acc_";"f;f";"__f_f;n_";1;;chunk_np;NONE_subsumed:Device;"2391;10696";NONE_subsumed:Device;"2391;10696";"qubfinppasprepsubst;substinterpNONENONENONE";"nie;zostać;podłączyć;do;aparatura;życie;.;NONE;NONE;NONE";"nie;zostanie;podłączona;do;aparatury;życie;.;NONE;NONE;NONE";"_sgsg_sg;sg_";"__nomgengen;acc_";"__f_f;n_";"qubfinppasprepsubst;substinterpNONENONENONE";"nie;zostać;podłączyć;do;aparatura;życie;.;NONE;NONE;NONE";"nie;zostanie;podłączona;do;aparatury;życie;.;NONE;NONE;NONE";"_sgsg_sg;sg_";"__nomgengen;acc_";"__f_f;n_";"2391;10696";"0;0";"0;0";"actor;cause"
"pact;subst";"qubfinppasprepsubst;adjsubstconjfinprep";"zapewniać;aparatura";"nie;zostać;podłączyć;do;aparatura;sztuczny;odżywianie;i;umrzeć;z";"zapewniającej;aparatury";"nie;zostanie;podłączona;do;aparatury;sztuczne;odżywianie;i;umrze;z";"sg;sg";"_sgsg_sg;sgsg_sg_";"gen;gen";"__nomgengen;accacc__gen";"f;f";"__f_f;nn___";1;;chunk_np;NONE_subsumed:Device;"10681;10696";NONE_subsumed:Device;"10681;10696";"qubfinppasprepsubst;adjsubstconjfinprep";"nie;zostać;podłączyć;do;aparatura;sztuczny;odżywianie;i;umrzeć;z";"nie;zostanie;podłączona;do;aparatury;sztuczne;odżywianie;i;umrze;z";"_sgsg_sg;sgsg_sg_";"__nomgengen;accacc__gen";"__f_f;nn___";"qubfinppasprepsubst;adjsubstconjfinprep";"nie;zostać;podłączyć;do;aparatura;sztuczny;odżywianie;i;umrzeć;z";"nie;zostanie;podłączona;do;aparatury;sztuczne;odżywianie;i;umrze;z";"_sgsg_sg;sgsg_sg_";"__nomgengen;accacc__gen";"__f_f;nn___";"10681;10696";"0;0";"0;0";"actor;cause"
"subst;adj";"ppasprepsubstpactadj;conjfinprepsubstger";"odżywianie;sztuczny";"podłączyć;do;aparatura;zapewniać;sztuczny;i;umrzeć;z;powód;dostarczyć";"odżywianie;sztuczne";"podłączona;do;aparatury;zapewniającej;sztuczne;i;umrze;z;powodu;niedostarczenia";"sg;sg";"sg_sgsgsg;_sg_sgsg";"acc;acc";"nomgengengenacc;__gengengen";"n;n";"f_ffn;___m3n";1;;chunk_np;"subsumed:Ingesting;subsumed:Putting_NONE";"85964;224544";"subsumed:Ingesting;subsumed:Putting_NONE";"85964;224544";"ppasprepsubstpactadj;conjfinprepsubstger";"podłączyć;do;aparatura;zapewniać;sztuczny;i;umrzeć;z;powód;dostarczyć";"podłączona;do;aparatury;zapewniającej;sztuczne;i;umrze;z;powodu;niedostarczenia";"sg_sgsgsg;_sg_sgsg";"nomgengengenacc;__gengengen";"f_ffn;___m3n";"ppasprepsubstpactadj;conjfinprepsubstger";"podłączyć;do;aparatura;zapewniać;sztuczny;i;umrzeć;z;powód;dostarczyć";"podłączona;do;aparatury;zapewniającej;sztuczne;i;umrze;z;powodu;niedostarczenia";"sg_sgsgsg;_sg_sgsg";"nomgengengenacc;__gengengen";"f_ffn;___m3n";"85964;224544";"1;0";"0;0";manner
